Mã phiếu,Người tạo,Ngày tạo,Mã kế hoạch,Mã vật tư,Tên vật tư,Đvt (01),SỐ LƯỢNG (01),ĐVT (02),SỐ LƯỢNG (02),NGÀY CẦN
PR23/12-013,Hoàng Văn Khiêm ,12/7/2023,EP2312-0018,5200103540000000,9900 Lumut,CM2,10000,CM2,10000,
PR23/10-037,Hoàng Văn Khiêm ,10/16/2023,EP2310-0040,5200103540000000,9900 Lumut,CM2,10000,CM2,10000,
PR23/11-054,Hoàng Văn Khiêm ,11/22/2023,EP2311-0045,5200103550000000,9900 66MFM,CM2,10000,CM2,10000,
PR23/10-042,Hoàng Văn Khiêm ,10/18/2023,EP2310-0055,5200103570000000,9901 Lumut,CM2,10000,CM2,10000,
PR23/11-063,Hoàng Văn Khiêm ,11/27/2023,EP2311-0072,5200103590000000,9901 Pasir,CM2,10000,CM2,10000,
PR23/12-042,Hoàng Văn Khiêm ,12/18/2023,EP2312-0053,5200103590000000,9901 Pasir,CM2,10000,CM2,10000,
PR23/11-087,Hoàng Văn Khiêm ,11/29/2023,EP2311-0099,5200103600000000,9902C Lumut,CM2,10000,CM2,10000,
PR23/10-042,Hoàng Văn Khiêm ,10/18/2023,EP2310-0055,5200103600000000,9902C Lumut,CM2,10000,CM2,10000,
PR23/10-028,Hoàng Văn Khiêm ,10/12/2023,EP2310-0033,5200103600000000,9902C Lumut,CM2,10000,CM2,10000,
PR23/11-054,Hoàng Văn Khiêm ,11/22/2023,EP2311-0045,5200103610000000,9902C 66MFM,CM2,10000,CM2,10000,
PR23/10-042,Hoàng Văn Khiêm ,10/18/2023,EP2310-0055,5200103630000000,9902 Lumut,CM2,10000,CM2,10000,
PR23/12-013,Hoàng Văn Khiêm ,12/7/2023,EP2312-0018,5200103630000000,9902 Lumut,CM2,10000,CM2,10000,
PR23/10-075,Hoàng Văn Khiêm ,10/31/2023,EP2310-0086,5200103710000000,AGRI FEED,CM2,10000,CM2,10000,
PR23/10-058,Hoàng Văn Khiêm ,10/25/2023,EP2310-0075,5200103710000000,AGRI FEED,CM2,10000,CM2,10000,
PR23/10-007,Hoàng Văn Khiêm ,10/4/2023,EP2310-0015,5200103750000000,Bản in AQ 38,CM2,10000,CM2,10000,
PR23/12-028,Hoàng Văn Khiêm ,12/12/2023,EP2312-0033,5200103760000000,AQ-40kg (Mekong),CM2,10000,CM2,10000,
PR23/10-075,Hoàng Văn Khiêm ,10/31/2023,EP2310-0086,5200103780000000,Aqua 34,CM2,10000,CM2,10000,
PR23/11-034,Hoàng Văn Khiêm ,11/15/2023,EP2311-0031,5200103830000000,BAJA PADI III,CM2,10000,CM2,10000,
PR23/12-042,Hoàng Văn Khiêm ,12/18/2023,EP2312-0053,5200103830000000,BAJA PADI III,CM2,10000,CM2,10000,
PR23/12-013,Hoàng Văn Khiêm ,12/7/2023,EP2312-0018,5200103870000000,Balance NB,CM2,10000,CM2,10000,
PR23/12-028,Hoàng Văn Khiêm ,12/12/2023,EP2312-0033,5200103910000000,CF 40kg (Mekong),CM2,10000,CM2,10000,
PR23/10-058,Hoàng Văn Khiêm ,10/25/2023,EP2310-0075,5200103910000000,CF 40kg (Mekong),CM2,10000,CM2,10000,
PR23/12-063,Hoàng Văn Khiêm ,12/26/2023,EP2312-0075,5200104020000000,Xích Lô 40kg,CM2,10000,CM2,10000,
PR23/11-087,Hoàng Văn Khiêm ,11/29/2023,EP2311-0099,5200104140000000,Blue globe 25,CM2,10000,CM2,10000,
PR23/12-009,Hoàng Văn Khiêm ,12/5/2023,EP2312-0011,5200104160000000,Blue Horse CK,CM2,10000,CM2,10000,
PR23/10-010,Hoàng Văn Khiêm ,10/4/2023,EP2309-0108,5200104270000000,Brown Globe,CM2,10000,CM2,10000,
PR23/12-013,Hoàng Văn Khiêm ,12/7/2023,EP2312-0018,5200104350000000,Cám mì Pollard,CM2,10000,CM2,10000,
PR23/12-028,Hoàng Văn Khiêm ,12/12/2023,EP2312-0033,5200104440000000,CF2 40kg (Mekong),CM2,10000,CM2,10000,
PR23/11-063,Hoàng Văn Khiêm ,11/27/2023,EP2311-0072,5200104450000000,CF2 25kg (Mekong),CM2,10000,CM2,10000,
PR23/11-020,Hoàng Văn Khiêm ,11/10/2023,EP2311-0018,5200104600000000,Diamond,CM2,10000,CM2,10000,
PR23/10-014,Hoàng Văn Khiêm ,10/10/2023,EP2310-0022,5200104850000000,FERRER FLOR,CM2,10000,CM2,10000,
PR23/10-037,Hoàng Văn Khiêm ,10/16/2023,EP2310-0040,5200104860000000,FERRER SUPER,CM2,10000,CM2,10000,
PR23/11-011,Hoàng Văn Khiêm ,11/6/2023,EP2311-0006,5200104860000000,FERRER SUPER,CM2,10000,CM2,10000,
PR23/10-014,Hoàng Văn Khiêm ,10/10/2023,EP2310-0022,5200104870000000,FERRER ULTRA,CM2,10000,CM2,10000,
PR23/10-007,Hoàng Văn Khiêm ,10/4/2023,EP2310-0018,5200104950000000,Fortaleza,CM2,10000,CM2,10000,
PR23/11-020,Hoàng Văn Khiêm ,11/10/2023,EP2311-0018,5200104950000000,Fortaleza,CM2,10000,CM2,10000,
PR23/12-063,Hoàng Văn Khiêm ,12/26/2023,EP2312-0075,5200105030000000,GOLDEN BUFFALO-25,CM2,10000,CM2,10000,
PR23/10-075,Hoàng Văn Khiêm ,10/31/2023,EP2310-0086,5200105060000000,Golden horse,CM2,10000,CM2,10000,
PR23/12-013,Hoàng Văn Khiêm ,12/7/2023,EP2312-0018,5200105120000000,Green Biccle,CM2,10000,CM2,10000,
PR23/11-002,Hoàng Văn Khiêm ,11/1/2023,EP2310-0091,5200105130000000,Green Bicycle,CM2,10000,CM2,10000,
PR23/11-020,Hoàng Văn Khiêm ,11/10/2023,EP2311-0018,5200105150000000,Green horse,CM2,10000,CM2,10000,
PR23/12-013,Hoàng Văn Khiêm ,12/7/2023,EP2312-0018,5200105630000000,KCP ĐƯỜNGTINH LUYỆN CAO CẤP (XANH DƯƠNG),CM2,10000,CM2,10000,
PR23/10-075,Hoàng Văn Khiêm ,10/31/2023,EP2310-0086,5200105810000000,love Birds,CM2,5000,CM2,5000,
PR23/10-042,Hoàng Văn Khiêm ,10/18/2023,EP2310-0055,5200105810000000,love Birds,CM2,10000,CM2,10000,
PR23/12-028,Hoàng Văn Khiêm ,12/12/2023,EP2312-0033,5200106030000000,Omyacarb 12-MI,CM2,10000,CM2,10000,
PR23/11-007,Hoàng Văn Khiêm ,11/2/2023,EP2311-0004,5200106150000000,Orange 888 25kg,CM2,10000,CM2,10000,
PR23/10-075,Hoàng Văn Khiêm ,10/31/2023,EP2310-0086,5200106170000000,Orange Horse,CM2,10000,CM2,10000,
PR23/11-011,Hoàng Văn Khiêm ,11/6/2023,EP2311-0006,5200106190000000,Oro Cinco,CM2,10000,CM2,10000,
PR23/10-014,Hoàng Văn Khiêm ,10/10/2023,EP2310-0022,5200106190000000,Oro Cinco,CM2,10000,CM2,10000,
PR23/11-011,Hoàng Văn Khiêm ,11/6/2023,EP2311-0006,5200106200000000,Oro Dos,CM2,10000,CM2,10000,
PR23/10-014,Hoàng Văn Khiêm ,10/10/2023,EP2310-0023,5200106210000000,Oro Tres,CM2,10000,CM2,10000,
PR23/10-037,Hoàng Văn Khiêm ,10/16/2023,EP2310-0040,5200106210000000,Oro Tres,CM2,10000,CM2,10000,
PR23/11-020,Hoàng Văn Khiêm ,11/10/2023,EP2311-0018,5200106210000000,Oro Tres,CM2,10000,CM2,10000,
PR23/10-037,Hoàng Văn Khiêm ,10/16/2023,EP2310-0040,5200106220000000,Oro Uno,CM2,20000,CM2,20000,
PR23/10-007,Hoàng Văn Khiêm ,10/4/2023,EP2310-0017,5200106220000000,Oro Uno,CM2,10000,CM2,10000,
PR23/11-011,Hoàng Văn Khiêm ,11/6/2023,EP2311-0006,5200106220000000,Oro Uno,CM2,20000,CM2,20000,
PR23/10-075,Hoàng Văn Khiêm ,10/31/2023,EP2310-0086,5200106220000000,Oro Uno,CM2,10000,CM2,10000,
PR23/11-020,Hoàng Văn Khiêm ,11/10/2023,EP2311-0018,5200106230000000,Bản in OTROS USOS,CM2,10000,CM2,10000,
PR23/11-054,Hoàng Văn Khiêm ,11/22/2023,EP2311-0045,5200106230000000,Bản in OTROS USOS,CM2,10000,CM2,10000,
PR23/10-008,Hoàng Văn Khiêm ,10/4/2023,EP2310-0010,5200106380000000,BẢN IN POLLARD,CM2,10000,CM2,10000,
PR23/11-080,Hoàng Văn Khiêm ,11/28/2023,EP2311-0083,5200106390000000,Pollard- Cám Tinh,CM2,10000,CM2,10000,
PR23/10-014,Hoàng Văn Khiêm ,10/10/2023,EP2310-0028,5200106480000000,Rama Rama 99 (2),CM2,10000,CM2,10000,
PR23/10-042,Hoàng Văn Khiêm ,10/18/2023,EP2310-0055,5200106590000000,Red Bicycle,CM2,10000,CM2,10000,
PR23/11-050,Hoàng Văn Khiêm ,11/22/2023,EP2311-0062,5200106600000000,Red Globe,CM2,10000,CM2,10000,
PR23/12-042,Hoàng Văn Khiêm ,12/18/2023,EP2312-0053,5200106620000000,Red Horse,CM2,10000,CM2,10000,
PR23/12-063,Hoàng Văn Khiêm ,12/26/2023,EP2312-0075,5200106660000000,Red Rose,CM2,10000,CM2,10000,
PR23/10-042,Hoàng Văn Khiêm ,10/18/2023,EP2310-0055,5200106660000000,Red Rose,CM2,10000,CM2,10000,
PR23/11-034,Hoàng Văn Khiêm ,11/15/2023,EP2311-0031,5200106730000000,Roticanal,CM2,10000,CM2,10000,
PR23/12-028,Hoàng Văn Khiêm ,12/12/2023,EP2312-0033,5200106900000000,SFM99,CM2,10000,CM2,10000,
PR23/11-080,Hoàng Văn Khiêm ,11/28/2023,EP2311-0083,5200107080000000,Thọ Phát 25kg,CM2,10000,CM2,10000,
PR23/12-063,Hoàng Văn Khiêm ,12/26/2023,EP2312-0075,5200107220000000,WHITE TIGER,CM2,10000,CM2,10000,
PR23/12-063,Hoàng Văn Khiêm ,12/26/2023,EP2312-0075,5200107310000000,Yellow Globe,CM2,10000,CM2,10000,
PR23/11-034,Hoàng Văn Khiêm ,11/15/2023,EP2311-0031,5200107310000000,Yellow Globe,CM2,10000,CM2,10000,
