Mã phiếu,Người tạo,Ngày tạo,Mã kế hoạch,Mã vật tư,Tên vật tư,Đvt (01),SỐ LƯỢNG (01),ĐVT (02),SỐ LƯỢNG (02),NGÀY CẦN
PR24/10-023,Nguyễn Thị Hưởng,10/9/2024,EP2410-0014,5300101250000000,Giấy in liên tục 3 liên ( chia đội),THUNG,1,THUNG,1,
PR24/10-023,Nguyễn Thị Hưởng,10/9/2024,EP2410-0014,VPP003,Bìa Lổ Mỏng,XAP,5,XAP,5,
PR24/10-023,Nguyễn Thị Hưởng,10/9/2024,EP2410-0014,5300100350000000,Bút Lông Bảng xanh,Cây,10,Cây,10,
PR24/10-023,Nguyễn Thị Hưởng,10/9/2024,EP2410-0014,5300100640000000,Tập SV 200 trang,QUYEN,6,QUYEN,6,
PR24/10-023,Nguyễn Thị Hưởng,10/9/2024,EP2410-0014,5300101130000000,Bút lông bảng đỏ,Cây,10,Cây,10,
PR24/10-023,Nguyễn Thị Hưởng,10/9/2024,EP2410-0014,5300101450000000,Ghi Chú,XẤP,3,XẤP,3,
PR24/10-024,Nguyễn Thị Hưởng,10/9/2024,EP2410-0008,0916100052000000,Nước lau sàn nhà,CHAI,2,CHAI,2,
PR24/10-024,Nguyễn Thị Hưởng,10/9/2024,EP2410-0008,5300101830000000,Bút lông đâu Highper-B màu đỏ,Cây,30,Cây,30,
PR24/10-025,Nguyễn Thị Hưởng,10/9/2024,EP2410-0011,5200106330000000,Pink Globe,CM2,10000,CM2,10000,
PR24/10-026,Nguyễn Thị Hưởng,10/9/2024,EP2410-0026,520010902000000,Dongwon 101-A,CM2,10000,CM2,10000,
PR24/10-026,Nguyễn Thị Hưởng,10/9/2024,EP2410-0026,5200106330000000,Pink Globe,CM2,10000,CM2,10000,
PR24/10-026,Nguyễn Thị Hưởng,10/9/2024,EP2410-0026,520011850000000,TÔM HÙM ĐỎ-25KG,CM2,10000,CM2,10000,
PR24/10-026,Nguyễn Thị Hưởng,10/9/2024,EP2410-0026,5300101116000000,ACV-Jumbo,CM2,10000,CM2,10000,
PR24/10-027,Nguyễn Thị Hưởng,10/9/2024,EP2410-0028,0901100730000000,Bạc đạn SKF 609 2Z/C3,CAI,52,CAI,52,
PR24/10-027,Nguyễn Thị Hưởng,10/9/2024,EP2410-0028,0908500410000000,Lô cao su phi 200 X 1150mm ( Gia công theo bản vẽ),TRUC,1,TRUC,1,
PR24/10-027,Nguyễn Thị Hưởng,10/9/2024,EP2410-0028,0902210970000000,Đèn chiếu vạch xe nâng màu đỏ.,CAI,3,CAI,3,
PR24/10-028,Nguyễn Thị Hưởng,10/9/2024,EP2410-0029,MDM-DML,Dung Môi PP - Dung Môi trực tiếp,KG,510,KG,510,
PR24/10-028,Nguyễn Thị Hưởng,10/9/2024,EP2410-0029,MDM-FL021,Cam 021C FL.,KG,50,KG,50,
PR24/10-028,Nguyễn Thị Hưởng,10/9/2024,EP2410-0029,MDM-FLDO192GT,Đỏ 192C FL gián tiếp,KG,50,KG,50,
PR24/10-028,Nguyễn Thị Hưởng,10/9/2024,EP2410-0029,MDM-FLXL3415C,Xanh Lá 3415C FL,KG,50,KG,50,
PR24/10-028,Nguyễn Thị Hưởng,10/9/2024,EP2410-0029,MDM-FLXL3415CGT,Xanh Lá 3415C FL gián tiếp,KG,75,KG,75,
PR24/10-029,Nguyễn Thị Hưởng,10/10/2024,EP2410-0031,MDM-FL021GT,Cam 021C FL gián tiếp,KG,50,KG,50,
PR24/10-030,Nguyễn Thị Hưởng,10/10/2024,EP2410-0023,0923700020000000,KÉO CẮT CHỈ (cán màu xanh dương),Cái,50,Cái,50,
PR24/10-031,Nguyễn Thị Hưởng,10/10/2024,EP2410-0032,0914400014000000,Dây HDMI,CAI,1,CAI,1,
Tổng cộng:,,,,,,,184146,,183099.885,
